rope,seq_len,method,sample,region,tail_band,tokens,dense_nll,nll,delta_nll,delta_p50,delta_p95,delta_p99,delta_max,fraction_delta_gt_1,mean_kl,same_top1
native,32768,flashprefill_tail0,0,early,earlier,128,1.5479470318761166,1.5114845466523494,-0.036462485456597804,-1.1625352271948943e-05,0.17457466125488252,0.37787595510482797,0.8409844636917114,0.0,0.02104261535080606,0.9375
native,32768,flashprefill_tail0,0,late,earlier,128,2.1808484872297527,2.1442917602262384,-0.036556727003514304,-0.0008597443811595,0.2691597491502761,0.38048382282257087,0.4895617961883545,0.0,0.015091774456802608,0.953125
native,32768,flashprefill_tail0,0,middle,earlier,128,1.8419945590163325,1.840034221850761,-0.001960337165741951,-7.30413812561892e-05,0.18158314228057842,0.44543432235717795,0.8877711296081543,0.0,0.008883614957885573,0.9453125
native,32768,flashprefill_tail0,0,tail,earlier,269,1.8478070520471017,1.8565706825996546,0.008763630531781717,2.2291742425295524e-05,0.32488209009170527,0.8823754882812495,0.9974370002746582,0.0,0.02301822444888057,0.9256505576208178
native,32768,flashprefill_tail0,0,tail,last_block,115,0.9853623232093123,1.0535128119932442,0.06815048819932461,5.960437192698009e-07,0.6164720058441161,1.5012588572502135,1.7063267230987549,0.02608695652173913,0.028905640934771704,0.9565217391304348
native,32768,flashprefill_tail0,0,tail,penultimate_block,128,1.0484381541883678,1.0954661055733617,0.047027951387661915,-1.2095330930605996e-05,0.411652261018753,2.122776117324837,3.695104360580444,0.015625,0.021612973271810845,0.9375
native,32768,flashprefill_tail0,1,early,earlier,128,2.016133059271283,2.0138545343980923,-0.002278524873190687,-2.4852277419995517e-05,0.18612405657768247,0.33431959033012393,0.5457911491394043,0.0,0.007582358220964159,0.9375
native,32768,flashprefill_tail0,1,late,earlier,128,1.735901002346992,1.7535072591287673,0.01760625678177519,1.5555619029328227e-05,0.3766655087471005,0.6582645070552837,0.8511195182800293,0.0,0.015157582156136003,0.96875
native,32768,flashprefill_tail0,1,middle,earlier,128,1.8070393533935771,1.8383524521560446,0.03131309864616582,0.0001317922142334,0.5281813144683835,1.1599751472473148,1.6632966995239258,0.03125,0.026798304195263037,0.953125
native,32768,flashprefill_tail0,1,tail,earlier,269,1.658558690303285,1.673859739472754,0.015301049169468159,0.0001244134036824,0.29533910751342773,0.7918015670776348,1.1221427917480469,0.007434944237918215,0.015003136382676797,0.9591078066914498
native,32768,flashprefill_tail0,1,tail,last_block,115,1.5640830972628463,1.5474363046520485,-0.016646792610797843,-7.018845644779503e-05,0.31933140754699696,0.5800406634807586,0.6010403633117676,0.0,0.023161874684469844,0.9043478260869565
native,32768,flashprefill_tail0,1,tail,penultimate_block,128,2.057113568581755,2.0661748795276935,0.009061311062353649,-0.00032992567867035,0.3837764978408813,0.6122173118591311,0.7070937156677246,0.0,0.019220095827597164,0.9453125
native,32768,flashprefill_tail0,2,early,earlier,128,1.8165967173268367,1.822910416909096,0.00631369958225925,-1.2218132269481432e-05,0.19919958710670466,0.3113737511634828,0.6389260292053223,0.0,0.006481156513080744,0.9453125
native,32768,flashprefill_tail0,2,late,earlier,128,2.418011358228455,2.451049573954265,0.033038215725810005,0.00048330979188894994,0.34589583873748736,0.7234657573699954,0.7425131797790527,0.0,0.014862411144221663,0.8828125
native,32768,flashprefill_tail0,2,middle,earlier,128,1.7347502827095127,1.7364026370024988,0.0016523543375512953,-0.0028082504868507,0.280760383605957,0.9579464197158827,1.6197142601013184,0.015625,0.026705424970426564,0.9609375
native,32768,flashprefill_tail0,2,tail,earlier,269,1.7707061268471682,1.7816710273773924,0.010964900529575652,7.510032446589321e-06,0.31666265726089476,0.5018006324768065,1.2442893981933594,0.0037174721189591076,0.03595005924775573,0.9070631970260223
native,32768,flashprefill_tail0,2,tail,last_block,115,2.0101443875842366,2.049103686311525,0.03895929872729618,0.0003393012448213,0.42819428443908675,0.8511182403564453,1.181659698486328,0.008695652173913044,0.02740272660484909,0.9130434782608695
native,32768,flashprefill_tail0,2,tail,penultimate_block,128,1.5909469083888412,1.6368092916227504,0.045862383233926884,-1.1920838005607949e-07,0.6810476660728438,1.0401698923110965,1.139362335205078,0.0234375,0.03517990034049055,0.90625
native,32768,flashprefill_tail0,3,early,earlier,128,2.555777681675167,2.563131274231491,0.007353592556324176,-5.1849965529982e-06,0.25469378232955897,0.6792445087432867,0.7514011859893799,0.0,0.011134390150279349,0.9609375
native,32768,flashprefill_tail0,3,late,earlier,128,1.6429820966512168,1.6432428738019507,0.0002607770177203054,0.000298744183965,0.30221300125122036,0.46204709410667455,0.8627743721008301,0.0,0.017954728206694484,0.921875
native,32768,flashprefill_tail0,3,middle,earlier,128,2.078716602602043,2.078804485553178,8.788295113504214e-05,-1.0063069566967897e-05,0.35430159568786596,0.5642421674728397,0.6608686447143555,0.0,0.017807753505731896,0.9453125
native,32768,flashprefill_tail0,3,tail,earlier,269,1.6388262087289767,1.6829838722339097,0.04415766356032606,3.155448939651251e-05,0.37003879547119134,0.7356216812133787,5.0524420738220215,0.007434944237918215,0.02720238203188139,0.9256505576208178
native,32768,flashprefill_tail0,3,tail,last_block,115,1.78681281326207,1.7776776108248609,-0.009135202307633648,-0.0001484639360569,0.3288050174713133,0.48805284261703485,0.6390215158462524,0.0,0.03278138240047715,0.9391304347826087
native,32768,flashprefill_tail0,3,tail,penultimate_block,128,1.4050507673929609,1.3947102420739625,-0.010340525464464175,-1.5078210708452389e-05,0.33672188520431495,0.869135334491731,1.1687259674072266,0.0078125,0.04349190150085587,0.8828125
native,32768,flashprefill_tail1,0,early,earlier,128,1.5479470318761166,1.5114845466523494,-0.036462485456597804,-1.1625352271948943e-05,0.17457466125488252,0.37787595510482797,0.8409844636917114,0.0,0.02104261535080606,0.9375
native,32768,flashprefill_tail1,0,late,earlier,128,2.1808484872297527,2.1442917602262384,-0.036556727003514304,-0.0008597443811595,0.2691597491502761,0.38048382282257087,0.4895617961883545,0.0,0.015091774456802608,0.953125
native,32768,flashprefill_tail1,0,middle,earlier,128,1.8419945590163325,1.840034221850761,-0.001960337165741951,-7.30413812561892e-05,0.18158314228057842,0.44543432235717795,0.8877711296081543,0.0,0.008883614957885573,0.9453125
native,32768,flashprefill_tail1,0,tail,earlier,269,1.8478070520471017,1.8565706825996546,0.008763630531781717,2.2291742425295524e-05,0.32488209009170527,0.8823754882812495,0.9974370002746582,0.0,0.02301822444888057,0.9256505576208178
native,32768,flashprefill_tail1,0,tail,last_block,115,0.9853623232093123,1.0113616698267616,0.025999346617449317,-9.178664186038075e-06,0.23291506767272932,0.5732802820205687,2.163193225860596,0.008695652173913044,0.009310240453136182,0.9826086956521739
native,32768,flashprefill_tail1,0,tail,penultimate_block,128,1.0484381541883678,1.0954661055733617,0.047027951387661915,-1.2095330930605996e-05,0.411652261018753,2.122776117324837,3.695104360580444,0.015625,0.021612973271810845,0.9375
native,32768,flashprefill_tail1,1,early,earlier,128,2.016133059271283,2.0138545343980923,-0.002278524873190687,-2.4852277419995517e-05,0.18612405657768247,0.33431959033012393,0.5457911491394043,0.0,0.007582358220964159,0.9375
native,32768,flashprefill_tail1,1,late,earlier,128,1.735901002346992,1.7535072591287673,0.01760625678177519,1.5555619029328227e-05,0.3766655087471005,0.6582645070552837,0.8511195182800293,0.0,0.015157582156136003,0.96875
native,32768,flashprefill_tail1,1,middle,earlier,128,1.8070393533935771,1.8383524521560446,0.03131309864616582,0.0001317922142334,0.5281813144683835,1.1599751472473148,1.6632966995239258,0.03125,0.026798304195263037,0.953125
native,32768,flashprefill_tail1,1,tail,earlier,269,1.658558690303285,1.673859739472754,0.015301049169468159,0.0001244134036824,0.29533910751342773,0.7918015670776348,1.1221427917480469,0.007434944237918215,0.015003136382676797,0.9591078066914498
native,32768,flashprefill_tail1,1,tail,last_block,115,1.5640830972628463,1.565347671421193,0.0012645741583464376,0.0001922370865941,0.2158755898475647,0.3038189005851745,0.5061450004577637,0.0,0.010390511108640406,0.9478260869565217
native,32768,flashprefill_tail1,1,tail,penultimate_block,128,2.057113568581755,2.0661748795276935,0.009061311062353649,-0.00032992567867035,0.3837764978408813,0.6122173118591311,0.7070937156677246,0.0,0.019220095827597164,0.9453125
native,32768,flashprefill_tail1,2,early,earlier,128,1.8165967173268367,1.822910416909096,0.00631369958225925,-1.2218132269481432e-05,0.19919958710670466,0.3113737511634828,0.6389260292053223,0.0,0.006481156513080744,0.9453125
native,32768,flashprefill_tail1,2,late,earlier,128,2.418011358228455,2.451049573954265,0.033038215725810005,0.00048330979188894994,0.34589583873748736,0.7234657573699954,0.7425131797790527,0.0,0.014862411144221663,0.8828125
native,32768,flashprefill_tail1,2,middle,earlier,128,1.7347502827095127,1.7364026370024988,0.0016523543375512953,-0.0028082504868507,0.280760383605957,0.9579464197158827,1.6197142601013184,0.015625,0.026705424970426564,0.9609375
native,32768,flashprefill_tail1,2,tail,earlier,269,1.7707061268471682,1.7816710273773924,0.010964900529575652,7.510032446589321e-06,0.31666265726089476,0.5018006324768065,1.2442893981933594,0.0037174721189591076,0.03595005924775573,0.9070631970260223
native,32768,flashprefill_tail1,2,tail,last_block,115,2.0101443875842366,2.024333247217747,0.014188859633518206,9.535797289572656e-07,0.2197280168533324,0.4379811573028564,0.9278850555419922,0.0,0.01029963518700515,0.9217391304347826
